⺀	tdaa
𡍟	bge	bg
𡍠	bska	bs
𡍡	bbry	bb
𡍢	byps	by
𡍣	bsxs	bs
𡍤	bnb	bn
𡍥	birf	bi
𡍦	bwfk	bw
𡍧	beyy	be
𡍨	btex	bt
𡍩	btuz	bt
𡍪	bmnb	bm
𡍫	blkd	bl
𡍬	bool	bo
𡍬	brrl	bo
𡍭	qmxb	qx
𡍮	moob	mo
𡍯	yzsb	yj
𡍰	bxqx	bx
𡍱	hzbb	hz
𡍲	bgce	bg
𡍳	xsrb	xx
𡍴	meob	mk
𡍵	yzrb	yz
𡍶	hbmb	hm
𡍶	hbrb	hm
𡍷	bubk	bu
𡍸	jjjb	jj
𡍹	bmac	bm
𡍺	mfkb	mk
𡍻	boys	bo
𡍼	tdmb	to
𡍽	uakb	uq
𡍾	bxyy	bx
𡍿	bgkz	bg
𡎀	xbub	xu
𡎁	bejq	be
𡎂	gmeb	gm
𡎃	budb	bu
𡎄	gwlb	gw
𡎅	blgu	bl
𡎆	bpel	bp
𡎇	brgm	br
𡎈	bbbd	bb
𡎉	bmb	bb
𡎊	evyb	ev
𡎋	bgky	bg
𡎌	bgsl	bg
𡎍	bili	bi
𡎎	bjce	bj
𡎏	bnkv	bn
𡎐	boyb	bo
𡎑	bsmp	bs
𡎒	vmb	vm
𡎓	bvbv	bv
𡎔	bxhb	bx
𡎕	byxz	by
𡎕	baxz	by
𡎖	bzlo	bz
𡎗	bzrk	bz
𡎘	belg	be
𡎙	iixb	ir
𡎚	bwld	bw
𡎛	boyl	bo
𡎜	beld	be
𡎝	bxag	bx
𡎞	bilo	bi
𡎟	bmk	bm
𡎠	byxl	by
𡎡	bef	be
𡎢	odri	oo
𡎣	bkyj	bk
𡎤	bugd	bu
𡎥	rsob	ri
𡎦	odri	oo
𡎧	brmz	br
𡎨	lllb	ll
𡎩	baix	ba
𡎪	bib	bi
𡎫	bmoz	bm
𡎬	odbl	oo
𡎭	bzzr	bz
𡎮	bxkq	bx
𡎯	lkkb	lk
𡎰	bxse	bx
𡎱	idob	ij
𡎲	sjjb	sj
𡎳	yztb	yt
𡎴	bblo	bb
𡎵	birg	bi
𡎶	ygob	yg
𡎷	blqb	bl
𡎸	eagb	ej
𡎹	bxlx	bx
𡎺	wsrb	wj
𡎻	btob	bt
𡎼	foyb	fo
𡎽	bpxf	bp
𡎾	brqq	br
𡎿	surb	sx
𡏀	bazb	ba
𡏁	bwjj	bw
𡏂	btkb	bt
𡏃	hixb	hi
𡏄	wslb	wl
𡏄	bklb	wl
𡏅	sxyb	sx
𡏆	bund	bu
𡏆	buon	bu
𡏇	ygb	yg
𡏈	bxau	bx
𡏉	bwkz	bw
𡏊	buxk	bu
𡏋	vfb	vf
𡏌	bgds	bg
𡏍	bdmb	bj
𡏎	gdry	gu
𡏏	beok	be
𡏐	hpb	hp
𡏑	comb	cm
𡏒	fxb	fx
𡏓	bozr	bo
𡏔	jgb	jg
𡏕	meob	mt
𡏖	bbzl	bb
𡏗	berr	be
𡏘	banr	ba
𡏙	njgb	nr
𡏚	bpih	bp
𡏛	bpzg	bp
𡏜	borh	bo
𡏝	brmf	br
𡏞	belb	be
𡏟	bpez	bp
𡏠	bqoz	bq
𡏡	bskz	bs
𡏢	bcu	bc
𡏣	bngs	bn
𡏤	bwuz	bw
𡏥	bdpj	bd
𡏦	bubi	bu
𡏧	bnsj	bn
𡏨	birn	bi
𡏩	myob	my
𡏪	bpxf	bp
𡏫	bakf	ba
𡏬	vsnb	vs
𡏭	brf	br
𡏮	bzkf	bz
𡏯	blmo	bl
𡏰	buze	bu
𡏱	bkz	bk
𡏲	bxhr	bx
𡏲	bnhr	bx
𡏳	eaub	ej
𡏴	fjmb	fj
𡏵	glsb	ga
𡏶	bkal	bk
𡏷	bxqd	bx
𡏸	yazb	yz
𡏹	ybrb	yb
𡏺	bxfv	bx
𡏻	bnge	bn
𡏼	bcym	bc
𡏽	byyn	by
𡏾	bwaj	bw
𡏿	bsjy	bs
𡐀	vkob	vk
𡐁	bswl	bs
𡐂	udkb	ug
𡐃	bkjz	bk
𡐄	bywx	by
𡐅	bfxb	bf
𡐆	bxii	bx
𡐇	blal	bl
𡐈	bmjj	bm
𡐉	bbwi	bb
𡐊	fkqb	fq
𡐋	bekk	be
𡐌	bwgq	bw
𡐍	idxb	ix
𡐎	blbb	bl
𡐏	ngqb	ng
𡐐	bqpq	bq
𡐑	book	bo
𡐑	brrk	bo
𡐒	bswm	bs
𡐓	btxk	bt
𡐔	bwko	bw
𡐕	bzne	bz
𡐖	bhxb	bh
𡐗	brte	br
𡐘	bvnb	bv
𡐙	boad	bo
𡐚	brvv	br
𡐛	bfpd	bf
𡐜	aokz	ao
𡐝	btuo	bt
𡐞	kvmb	kl
𡐟	bnaz	bn
𡐠	pdbb	pe
𡐡	bwxk	bw
𡐢	bkeo	bk
𡐣	bokr	bo
𡐤	bcyz	bc
𡐥	bagk	ba
𡐦	bybq	by
𡐧	bfke	bf
𡐨	fxfb	fx
𡐩	rsub	ru
𡐪	ibeb	ib
𡐫	bzlj	bz
𡐫	bzll	bz
𡐬	bbmi	bb
𡐭	bukk	bu
𡐮	bpyu	bp
𡐯	bgnr	bg
𡐰	ggmb	gm
𡐱	meue	me
𡐲	yzbb	yj
𡐳	eaob	ek
𡐴	bsjq	bs
𡐵	bvau	bv
𡐶	bbup	bb
𡐷	ggdb	ga
𡐸	bivr	bi
𡐹	bkjk	bk
𡐺	beez	be
𡐻	bmjk	bm
𡐼	pvub	pu
𡐽	bezf	be
𡐾	bdai	bd
𡐿	bwbu	bw
𡑀	fofb	fo
𡑁	fkpb	fo
𡑂	bggl	bg
𡑃	fomb	fo
𡑄	bkjm	bk
𡑅	kqsb	kq
𡑆	bkkb	bk
𡑇	bjuz	bj
𡑈	memy	me
𡑉	bokr	bo
𡑊	bmob	bm
𡑋	brsu	br
𡑌	bskh	bs
𡑍	buwy	bu
𡑎	bxjd	bx
𡑏	bybj	by
𡑐	bzou	bz
𡑑	vkob	vk
𡑒	bxcm	bx
𡑒	bacm	bx
𡑓	bfff	bf
𡑔	sysb	ss
𡑕	blff	bl
𡑖	byug	by
𡑗	bnwn	bn
𡑘	rhlb	ro
𡑙	bakf	ba
𡑚	bwxb	bw
𡑛	bwmj	bw
𡑜	bczz	bc
𡑝	burm	bu
𡑞	bwug	bw
𡑟	bwlj	bw
𡑠	suhb	sk
𡑡	bljr	bl
𡑢	bezf	be
𡑣	bwzz	bw
𡑤	shbq	sj
𡑥	bxzz	bx
𡑦	bkls	bk
𡑧	idxb	iw
𡑨	boro	bo
𡑩	brsr	br
𡑪	bekr	be
𡑫	wdbb	wg
𡑬	bgrm	bg
𡑭	bolk	bo
𡑮	bwob	bw
𡑯	booo	bo
𡑰	bjjr	bj
𡑱	bxju	bx
𡑲	bffb	bf
𡑳	bxju	bx
𡑴	bxoq	bx
𡑵	beqi	be
𡑶	ziob	zr
𡑷	besl	be
𡑸	mygb	my
𡑹	bybu	by
𡑺	chmb	cr
𡑻	fugb	fu
𡑼	fkxb	fz
𡑽	baog	ba
𡑽	beog	ba
𡑾	biag	bi
𡑿	bku	bk
𡒀	jdgb	jo
𡒁	baka	ba
𡒁	bmka	ba
𡒂	bnbq	bn
𡒃	nlgb	nu
𡒄	bsjb	bs
𡒅	btjj	bt
𡒆	bwlo	bw
𡒇	boor	bo
𡒇	borr	bo
𡒈	bxzz	bx
𡒉	hmhb	hz
𡒊	nbob	na
𡒋	sjmb	sj
𡒌	bway	bw
𡒍	cegb	cx
𡒎	evmb	ev
𡒏	bzrk	bz
𡒐	yazb	ym
𡒑	llbb	ll
𡒒	rsji	rj
𡒓	hmlb	hm
𡒔	byyn	by
𡒕	brko	br
𡒖	vxrb	vx
𡒖	vmrb	vx
𡒗	veob	ve
𡒘	byzb	by
𡒙	edsb	ew
𡒚	baor	ba
𡒛	bxmm	bx
𡒜	bgjk	bg
𡒝	bexj	be
𡒞	bmih	bm
𡒟	odbb	om
𡒠	bnoo	bn
𡒠	bnro	bn
𡒡	bbux	bb
𡒢	bjxb	bj
𡒣	beub	be
𡒤	bhzh	bh
𡒥	hmia	hz
𡒦	kgsb	kg
𡒧	bkip	bk
𡒨	bwkl	bw
𡒩	bwjf	bw
𡒪	odol	oo
𡒫	bflb	bf
𡒬	bmec	bm
𡒭	bnkk	bn
𡒮	kicb	kk
𡒯	beag	be
𡒰	mygb	my
𡒱	sumb	su
𡒲	btb	bt
𡒳	bnws	bn
𡒴	nxgb	nx
𡒵	bwls	bw
𡒶	busx	bu
𡒶	buax	bu
𡒷	btpk	bt
𡒸	bxlk	bx
𡒹	bezi	be
𡒺	bmwl	bm
𡒻	bppl	bp
𡒼	bjqb	bj
𡒽	bzzb	bz
𡒾	biph	bi
𡒿	mygb	my
𡓀	bdzn	bd
𡓁	blrr	bl
𡓂	bxuy	bx
𡓃	bggg	bg
𡓄	berc	be
𡓅	bebz	be
𡓆	msob	ms
𡓇	brk	br
𡓈	bmrk	bm
𡓉	oxqb	og
𡓊	btyq	bt
𡓋	bnxm	bn
𡓌	buzm	bu
𡓍	bzoz	bz
𡓎	bojm	bo
𡓏	bumy	bu
𡓐	bcjj	bc
𡓑	bsae	bs
𡓒	bfrl	bf
𡓒	bfyl	bf
𡓓	nbnb	no
𡓔	btjm	bt
𡓕	bmuy	bm
𡓖	bbhy	bb
𡓗	ywqb	yw
𡓘	bfni	bf
𡓙	bkzx	bk
𡓚	llxb	lp
𡓛	oojb	oo
𡓜	btjj	bt
𡓝	idxb	iw
𡓞	bmcu	bm
𡓟	bfai	bf
𡓠	bpek	bp
𡓡	brmg	br
𡓢	uoob	ur
𡓣	bsje	bs
𡓤	bnol	bn
𡓥	bjeh	bj
𡓦	brrs	br
𡓧	uozb	ue
𡓨	boob	bo
𡓩	szzb	sz
𡓪	koub	kw
𡓫	bllz	bl
𡓬	mygb	my
𡓭	yzob	ya
𡓮	llob	ln
𡓯	bpkb	bp
𡓰	bibz	bi
𡓱	zdnb	zj
𡓲	bxyy	bx
𡓳	bccc	bc
𡓴	bueo	bu
𡓵	nbob	no
𡓶	jjjb	jj
𡓷	oxqb	og
𡓸	ggzb	gm
𡓹	bxls	bx
𡓺	bgsi	bg
𡓻	bnor	bn
𡓻	bnrr	bn
𡓼	iijb	io
𡓽	bebu	be
𡓾	bwju	bw
𡓿	jjjb	jj
𡔀	anrb	an
𡔁	bkkb	bk
𡔂	wdub	wb
𡔃	beon	be
𡔄	bmbu	bm
𡔅	pvgb	pl
𡔆	vsb	vs
𡔇	ufgb	ug
𡔈	aolb	ao
𡔉	balt	ba
𡔊	sjbb	sj
𡔋	bsix	bs
𡔌	jdob	jz
𡔍	bwll	bw
𡔎	bigs	bi
𡔏	tgnb	tz
𡔐	bcyi	bc
𡔑	bhll	bh
𡔒	bker	bk
𡔓	bakt	ba
𡔔	befl	be
𡔕	sulb	sk
𡔖	bzmo	bz
𡔗	odob	oa
𡔘	blxz	bl
𡔙	bttt	bt
𡔚	bttt	bt
𡔛	ydb	yb
𡔜	bxm	bx
𡔝	bxm	bx
𡔞	shmb	sm
𡔟	nqmb	nq
𡔠	bjnd	bj
𡔡	booo	bo
𡔢	bjzs	bj
𡔣	bjzg	bj
𡔤	bjls	bj
𡔥	bezi	be
𡔦	bjea	bj
𡔧	bjwq	bj
𡔨	ubmb	um
𡔩	bwkz	bw
𡔪	bwjb	bw
𡔫	bwoa	bw
𡔬	bykb	by
𡔭	bkc	bk
𡔮	blqx	bl
𡔯	bjbj	bj
𡔰	blxi	bl
𡔱	bwkg	bw
𡔲	bjia	bj
𡔳	bwia	bw
𡔴	bwzq	bw
𡔵	bwyz	bw
𡔶	bjbz	bj
𡔷	bjzx	bj
𡔸	bwrb	bw
𡔹	bwju	bw
𡔺	bwjd	bw
𡔻	bwzk	bw
𡔼	bjzb	bj
𡔽	bxjd	bx
𡔾	bwia	bw
𡔿	bwag	bw
𡕀	bqfu	bq
𡕁	bejr	be
𡕂	bjia	bj
𡕃	blzu	bl
𡕄	bwau	bw
𡕅	bwjr	bw
𡕆	bjrj	bj
𡕇	bjbj	bj
𡕈	bjia	bj
𡕉	bjjz	bj
𡕊	bjnk	bj
𡕋	byan	by
𡕋	bybn	by
𡕌	bxju	bx
𡕍	bjia	bj
𡕎	bwgg	bw
𡕏	bwxf	bw
𡕐	bxbj	bx
𡕑	bxqq	bx
𡕒	hivv	hi
𡕓	rsnd	rn
𡕔	ymrs	ym
𡕕	rsya	ry
𡕖	rsbi	rb
𡕗	rspi	rp
𡕘	rsmb	rm
𡕙	rsq	rq
𡕚	rslr	rl
𡕛	rseu	re
𡕜	rszz	rp
𡕝	rsuu	ru
𡕞	qyar	qr
𡕟	brs	br
𡕠	agrs	ag
𡕡	xors	xo
𡕡	xrrs	xo
𡕢	aurs	au
𡕣	aiar	ai
𡕤	cors	cr
𡕥	lrs	lr
𡕦	kiar	ko
𡕧	sqor	sq
𡕧	sqrr	sq
𡕨	sjjr	sj
𡕩	njor	no
𡕩	njrr	no
𡕪	yyhr	yx
𡕫	rlor	rl
𡕫	rlrr	rl
𡕬	zssq	zo
𡕭	jdjr	jj
𡕮	bzor	bz
𡕮	bzrr	bz
𡕯	nbzr	nz
𡕰	osor	oz
𡕱	rlkr	rl
𡕲	boor	bo
𡕳	rklr	rk
𡕴	oijr	or
𡕵	anaz	an
𡕶	tior	tr
𡕷	rllr	rl
𡕸	uarr	ut
𡕹	wdlr	wl
𡕺	krzr	kr
𡕻	annr	an
𡕻	nbnr	an
𡕼	pvyr	pb
𡕽	pvyr	px
𡕾	ankr	an
𡕿	anyr	an
𡖀	pvyr	px
𡖀	mkyr	px
𡖁	eeur	er
𡖂	iayr	ia
𡖃	annr	an
𡖄	rsix	ri
𡖅	rsrr	rr
𡖆	qdrs	qr
𡖇	rsrs	rr
𡖈	xixi	xi
𡖉	rsys	ry
𡖊	rsyb	ry
𡖋	rsuo	ru
𡖌	rsji	rj
𡖍	ssor	ss
𡖎	rsry	rr
𡖏	rsad	ry
𡖐	rsry	rr
𡖑	rsrs	rr
𡖒	rsrt	rr
𡖒	rsrb	rr
𡖓	rswr	rr
𡖔	rslb	rr
𡖕	rsll	ry
𡖖	rsxy	rx
𡖗	rsob	rv
𡖘	boor	bo
𡖙	rsrm	rr
𡖚	rsbn	rj
𡖛	rsld	rl
𡖜	rsrz	rr
𡖝	rslb	rr
𡖞	rsij	rr
𡖟	rswr	rr
𡖠	rsgb	rr
𡖡	idrr	ij
𡖢	rswq	rr
𡖣	rsjx	rr
𡖤	rszj	rr
𡖥	rsxy	rx
𡖦	rsky	ri
𡖧	rsrh	rr
𡖨	rswz	rr
𡖩	xbrr	xx
𡖪	rsib	rr
𡖫	rsrp	rr
𡖬	rsmr	rr
𡖭	rspb	rr
𡖭	rsnb	rr
𡖮	rsbz	rr
𡖯	rsfj	rr
𡖰	pdrr	pi
𡖱	rsnu	rr
𡖲	rspz	rr
𡖳	gdrr	go
𡖴	rszg	rw
𡖴	rwzg	rw
𡖵	snij	sn
𡖶	ekgr	ek
𡖷	rsso	rw
𡖷	rsco	rw
𡖸	rwao	rw
𡖹	korr	kw
𡖺	rsnr	rj
𡖻	rsel	rr
𡖼	uarr	uk
𡖽	rszl	rr
𡖾	rsre	rr
𡖿	rsrl	rr
𡗀	bmrr	br
𡗁	rsxm	rr
𡗂	ucrr	ub
𡗃	rshh	rv
𡗄	uarr	ux
𡗅	rswu	rr
𡗆	kjrr	kz
𡗇	zdzr	zl
𡗈	rsjk	rr
𡗉	bbrr	bb
𡗊	rsbg	rr
𡗋	sjrr	sj
𡗌	rszn	rr
𡗍	ucrr	us
𡗎	rspk	rr
𡗏	jjrr	jj
𡗐	elhx	el
𡗑	koer	kw
𡗒	xos	xo
𡗓	gda	ga
𡗔	gdi	gi
𡗕	gdo	go
𡗖	zigd	zg
𡗗	coaa	co
𡗘	agi	ag
𡗙	agz	ag
𡗚	gdld	gl
𡗛	rygd	rg
𡗜	gdud	gu
𡗝	gdyz	gy
𡗞	zzgd	zz
𡗟	gdoi	go
𡗠	nlgd	ng
𡗡	gdzi	gz
𡗢	gdmb	gm
𡗣	agai	ag
𡗤	agnd	ag
𡗥	gdhz	gh
𡗦	gdon	go
𡗧	gdme	gm
𡗨	gdbz	gb
𡗩	uogd	ug
𡗪	gdux	gu
𡗫	cotd	ct
𡗬	rrrg	rr
𡗭	gdlt	gl
𡗮	pvgd	pg
𡗯	oygd	oy
𡗰	gdzz	ga
𡗱	gdii	gi
𡗲	gdpd	gp
𡗳	ozgd	oz
𡗴	gdte	gt
𡗵	gdyi	gy
𡗶	agia	ag
𡗷	gdps	gp
𡗸	gdmi	gm
𡗹	gdze	gz
𡗺	wwug	wu
𡗻	yzng	yn
𡗼	gdir	gi
𡗽	jrgd	jr
𡗾	eaon	eo
𡗿	eagd	eg
𡘀	aijg	aj
𡘁	gdzt	gr
𡘂	gdao	gi
𡘃	gdlk	gl
𡘄	gdpd	gp
𡘅	ryog	rz
𡘆	gdbz	gu
𡘇	gdcs	gc
𡘈	jogd	jo
𡘉	yzng	yn
𡘊	gdki	gk
𡘋	gdga	ga
𡘌	iirg	ir
𡘍	gdbk	gb
𡘎	gdgq	gg
𡘎	gdro	gg
𡘏	gdzy	gz
𡘐	gdsk	gs
𡘑	nbgd	ng
𡘒	gdsk	gs
𡘓	rgmo	rg
𡘔	udlg	ul
𡘕	cow	cw
𡘖	edog	eo
𡘗	gdi	gi
𡘘	gdzz	gz
𡘙	gdgg	gg
𡘚	gdsr	gs
𡘛	gdzz	gz
𡘜	jjgd	jj
𡘝	gdfj	gf
𡘞	zsgk	zg
𡘟	gdbl	gb
𡘠	nlmg	nm
𡘡	hgd	hg
𡘢	cixg	cy
𡘣	gdhx	ga
𡘤	gdkz	gu
𡘥	bnog	bn
𡘦	ldgl	lg
𡘧	gdik	gi
𡘨	gdkx	gi
𡘩	nbgd	ng
𡘪	gdnc	gn
𡘫	gdob	go
𡘬	rykg	rz
𡘬	ryzg	rz
𡘭	dpgd	dp
𡘮	afmo	af
𡘯	sojg	sj
𡘰	gdju	ga
𡘱	cixg	cr
𡘲	gdee	ge
𡘳	gdsx	gs
𡘴	gdkl	gk
𡘵	gdlu	gl
𡘶	llge	lg
𡘶	zige	lg
𡘷	gdch	gc
𡘸	agfj	ag
𡘹	gdnz	gn
𡘺	gduq	gu
𡘻	njog	no
𡘼	gdzb	gi
𡘽	ffgd	ff
𡘾	zisg	zg
𡘿	mbpr	mo
𡙀	kvzs	kl
𡙁	gdoo	go
𡙂	gdzk	gz
𡙃	gdsc	gg
𡙄	gdcl	gc
𡙅	ubpd	up
𡙆	gdnd	gn
𡙇	mexg	me
𡙈	gdyx	gu
𡙉	idog	ij
𡙊	rrng	rn
𡙋	gdlr	gl
𡙌	gdxk	gz
𡙍	gdml	gm
𡙎	agag	ag
𡙏	idtg	ij
𡙐	gdlm	gl
𡙑	skkg	sk
𡙒	gdgs	gs
𡙓	gdmp	gs
𡙔	gdbb	gg
𡙕	gdyb	gu
𡙖	rjxg	rj
𡙗	gdjj	gj
𡙘	gdze	gz
𡙙	gdnc	gn
𡙚	fqkg	fq
𡙛	uazg	uz
𡙜	gdnx	gn
𡙝	rxag	rx
𡙞	gdbz	gb
𡙟	rwrg	rw
𡙠	ezzg	ez
𡙡	ucug	uu
𡙢	ufyg	uo
𡙣	gdnr	ga
𡙤	gdsr	gw
𡙥	gdmk	gz
𡙦	ryzg	rz
𡙧	gdes	gy
𡙨	gdxk	gu
𡙩	snoo	sn
𡙪	udxg	ul
𡙫	odog	oo
𡙬	gdnj	gn
𡙭	bdlg	bo
𡙮	gdjc	gh
𡙯	gdvp	gv
𡙰	sjqg	sj
𡙱	dngd	dn
𡙲	gdjk	gj
𡙳	gdrm	gu
𡙴	surg	sk
𡙵	gdlx	gl
𡙶	mgkz	mg
𡙷	lklg	lg
𡙸	gdnf	gn
𡙹	cooe	co
𡙺	gdyb	ge
𡙻	gdff	ge
𡙼	ydlv	yg
𡙽	ggmg	gm
𡙾	mfgg	mg
𡙿	gdbz	gn
𡚀	ajkg	aj
𡚁	kvmg	kl
𡚂	rylv	rg
𡚃	phzg	ph
𡚄	gdeh	gi
𡚅	odog	oo
𡚆	moxg	mo
𡚇	lklg	li
𡚈	uaag	uk
𡚉	gdwm	gc
𡚊	gdjn	gj
𡚋	idyg	ia
𡚌	agag	ag
𡚍	gdji	gj
𡚎	lkaj	lg
𡚏	gdvs	gv
𡚐	gdan	ga
𡚑	agun	ag
𡚒	gdnn	gn
𡚓	gdhb	gi
𡚔	gdlu	gl
𡚕	mfbg	mp
𡚖	mywl	my
𡚗	gdkk	gk
𡚘	pvpk	pg
𡚙	eakg	ez
𡚚	gdrl	gf
𡚛	gdxb	gx
𡚜	gdjn	ge
𡚝	gdln	gl
𡚞	gdja	gn
𡚟	gdon	ge
𡚠	gdnx	gl
𡚡	ermg	er
𡚢	gdrm	ge
𡚣	nbfg	no
𡚤	lklg	lg
𡚥	rlzh	rl
𡚦	zms	zs
𡚧	zmrr	zr
𡚨	zmrr	zr
𡚩	xszm	xz
𡚪	qyzm	qz
𡚫	zmqd	zq
𡚬	bdzm	bz
𡚭	zmo	zo
𡚮	rszm	rs
𡚯	zmbz	zb
𡚰	rszm	rs
𡚱	zmyy	zy
𡚲	zmgr	zg
𡚳	zmb	zb
𡚴	llzm	lz
𡚵	zmrs	zr
𡚶	zozm	zo
𡚷	rysz	rs
𡚸	zmmz	zm
𡚹	zmao	za
𡚺	zmqy	zq
𡚻	zmgd	zg
𡚼	zmrh	zr
𡚽	xezm	xe
𡚾	zmqx	zq
𡚿	zmwz	zw
𡛀	zmgx	zg
𡛁	zmro	zr
𡛂	zmxm	zx
𡛃	zmar	za
𡛄	zmxs	zx
𡛅	zmyi	zy
𡛆	zmzp	zz
𡛇	zmmo	zm
𡛈	zmme	zm
𡛉	nbzm	nb
𡛊	zmmd	zm
𡛋	zmcz	zc
𡛌	agzm	ag
𡛍	bdzz	bz
𡛎	alzm	al
𡛏	zmhm	zh
𡛐	zmor	zo
𡛑	oyzm	oy
𡛒	xsxz	xx
𡛓	zmqs	zq
𡛔	zmiz	za
𡛕	zmgs	zg
𡛖	zmgy	zg
𡛗	rrrz	rr
𡛘	zmhr	zh
𡛙	zmzy	zz
𡛚	zmmu	zm
𡛛	zmzz	zz
𡛜	zmrs	zr
𡛝	idrz	ir
𡛞	zmze	zz
𡛟	zmhz	zh
𡛠	zmbz	zb
𡛡	zmxi	zx
𡛢	zmlg	zl
𡛣	zmys	zg
𡛤	ubzm	uz
𡛥	zmwr	zw
𡛦	zmlo	za
𡛧	zmop	zo
𡛨	zmai	zi
𡛩	zmsu	zs
𡛪	zmqp	zq
𡛫	zmxi	zx
𡛬	xizm	xz
𡛭	zmbk	zb
𡛮	zmgj	zg
𡛯	zmyn	zy
𡛰	zmjo	zj
𡛱	zmjl	zj
𡛱	zmjq	zj
𡛲	zmnh	zn
𡛳	zmnk	zn
𡛴	zmps	zp
𡛵	aizm	ai
𡛶	zmez	ze
𡛷	zmlm	za
𡛸	zmjx	zj
𡛹	rszm	rz
𡛺	xsmz	xx
𡛻	zmsk	zs
𡛼	zmcs	zc
𡛽	kiaz	kz
𡛾	zmld	zl
𡛿	zmgb	zg
𡜀	zsgz	zg
𡜁	zmps	zp
𡜂	vbzz	vb
𡜃	zmld	zl
𡜄	zmzm	zk
𡜅	zmmr	zm
𡜆	zmry	zr
𡜆	zmyy	zr
𡜇	zmek	za
𡜈	koaz	kw
𡜉	zmqf	zq
𡜊	zmez	zm
𡜋	zmsn	zs
𡜌	edbz	ew
𡜍	zmnl	zn
𡜎	ozrz	oz
𡜏	zmaz	zz
𡜐	zmhs	zh
𡜑	kszm	ks
𡜒	zmiy	zg
𡜓	jjzm	jj
𡜔	zmak	zi
𡜕	zmiq	zi
𡜖	zmrk	zr
𡜗	zmzk	zz
𡜘	zmmz	zm
𡜙	zmry	zr
𡜚	zmgl	zg
𡜛	kojz	kj
𡜜	zmkb	zl
𡜝	ldzm	lz
𡜞	zmzr	zm
𡜟	nmbz	nm
𡜟	nabz	nm
𡜠	zmrm	zr
𡜡	vadz	va
𡜢	zmxx	zx
𡜣	zmzb	zz
𡜤	zmby	zb
𡜥	zmmy	zm
𡜦	edez	ee
𡜧	zmno	zn
𡜨	zmnf	zn
𡜩	bjzm	bj
𡜪	zmzl	zz
𡜫	zmqs	zz
𡜬	zmnx	zn
𡜭	jdzm	jz
𡜮	zmay	zp
𡜯	zmcz	zc
𡜰	jdoz	jo
𡜱	zmyw	zy
𡜲	zmmj	zm
𡜳	zmfd	zf
𡜴	zmoj	zl
𡜵	zmfb	zf
𡜶	zmrj	zr
𡜷	zmiz	zw
𡜸	jdlz	jo
𡜹	hiyz	hy
𡜺	zmfj	zf
𡜻	zmwf	zw
𡜼	zmjk	zj
𡜽	koqz	kq
𡜾	zmxi	zt
𡜿	zmsk	zs
𡝀	zmfk	zf
𡝁	fjzm	fj
𡝂	zmzb	zz
𡝃	zmik	zi
𡝄	zmao	ze
𡝅	zmer	ze
𡝆	zmld	zl
𡝇	zmpb	zp
𡝈	zmoz	zb
𡝉	bdzz	bo
𡝊	zmdp	zd
𡝋	zmfz	zf
𡝌	ghzm	gz
𡝍	zmgq	zg
𡝎	kaez	ka
𡝏	zmzy	zw
𡝐	zmom	zo
𡝑	qyzm	qy
𡝒	zmum	zu
𡝓	zmxz	zr
𡝔	bzyz	bz
𡝕	zmyc	zy
𡝖	zmsw	zy
𡝗	zmxj	zx
𡝘	zmxk	zx
𡝙	zmob	zo
𡝚	zmjc	zj
𡝛	zmez	zx
𡝜	zmej	zp
𡝝	vczm	vc
𡝞	qyzm	qy
𡝟	zmmm	zm
𡝠	yzkz	yr
𡝡	yzkz	yo
𡝢	zmgs	zw
𡝣	kojz	kw
𡝤	kjzm	kz
𡝥	zmzf	zs
𡝦	zmyz	zp
𡝧	mbkz	ml
𡝨	nbzm	nz
𡝩	zmmg	ze
𡝪	rhkz	rk
𡝫	vijz	vi
𡝬	zmwc	zw
𡝭	zmkq	zk
𡝮	zmwl	zw
𡝯	zmxk	zx
𡝰	zmds	zd
𡝱	zmoy	ze
𡝲	zmow	zr
𡝳	zmew	ze
𡝴	zmbr	ze
𡝵	zmoe	zs
𡝶	symz	sm
𡝷	kowz	kw
𡝸	ucrz	ur
𡝹	zmyl	zy
𡝺	zmcm	zc
𡝻	zmbz	zg
𡝼	xmkz	xk
𡝽	ajiz	aj
𡝾	zmuc	zx
𡝿	zmeh	ze
𡞀	zmkl	zk
𡞁	zmer	ze
𡞂	zmrq	zr
𡞃	zmng	zn
𡞄	zmaz	zn
𡞅	zzzz	zz
𡞆	zmom	zo
𡞇	zmqq	zq
𡞈	zmmj	zm
𡞉	zmnz	zn
𡞊	zmgu	zm
𡞋	zmgp	zz
𡞌	zmne	zn
𡞍	zmkz	za
𡞎	zmjj	zg
𡞏	zmgb	zg
𡞐	zmej	zj
𡞑	zman	zk
𡞒	xblz	xw
𡞓	zifz	zf
𡞔	zyiz	zj
𡞕	zmrk	zr
𡞖	zmrs	zt
𡞗	zmcb	zc
𡞘	zmsz	zs
𡞙	zmsl	zs
𡞚	zmiq	zi
𡞛	zmae	zw
𡞜	udfz	uf
𡞝	zmun	zu
𡞞	zmml	zk
𡞟	ubxz	up
𡞠	vmzm	vm
𡞡	zmoo	zh
𡞢	zmrk	ze
𡞣	hmjz	ha
𡞤	zmfz	zf
𡞥	zmgm	zr
𡞦	zmky	zr
𡞧	zmor	zo
𡞨	zmhk	zh
𡞩	zslz	zl
𡞪	zmkr	zm
𡞫	zmfb	zf
𡞬	zmxs	zw
𡞬	zmos	zw
