# 字符	拼音	双拼	辅助码	完整编码	权重	来源
㕋	jing	jy	mc	jymc	0	chars
㕋	qin	qn	mc	qnmc	0	chars
㕌	ai	ai	mi	aimi	0	chars
㕍	dui	dv	mg	dvmg	0	chars
㕎	e	ee	mt	eemt	0	chars
㕎	ke	ke	mt	kemt	0	chars
㕎	kun	kp	mt	kpmt	0	chars
㕏	chu	iu	mj	iumj	0	chars
㕐	xie	xx	mf	xxmf	0	chars
㕑	chu	iu	mi	iumi	0	chars
㕒	wei	wz	mi	wzmi	0	chars
㕓	chan	ij	mg	ijmg	0	chars
㕔	ting	ty	mp	tymp	0	chars
㕕	huan	hr	ii	hrii	0	chars
㕖	su	su	id	suid	0	chars
㕗	you	yb	ti	ybti	0	chars
㕘	can	cj	if	cjif	0	chars
㕘	cen	cf	if	cfif	0	chars
㕘	shen	uf	if	ufif	0	chars
㕙	jun	jp	ii	jpii	0	chars
㕙	rui	rv	ii	rvii	0	chars
㕙	qun	qp	ii	qpii	0	chars
㕚	zhao	vk	ei	vkei	0	chars
㕛	xu	xu	ee	xuee	0	chars
㕛	you	yb	ee	ybee	0	chars
㕜	shi	ui	le	uile	0	chars
㕝	li	li	je	lije	0	chars
㕝	shi	ui	je	uije	0	chars
㕞	shua	uw	se	uwse	0	chars
㕟	kuai	ky	ye	kyye	0	chars
㕟	kui	kv	ye	kvye	0	chars
㕠	shuang	ud	ie	udie	0	chars
㕡	he	he	ye	heye	0	chars
㕡	huo	ho	ye	hoye	0	chars
㕡	rui	rv	ye	rvye	0	chars
㕢	gai	gl	ye	glye	0	chars
㕢	hai	hl	ye	hlye	0	chars
㕢	ju	ju	ye	juye	0	chars
㕢	lun	lp	ye	lpye	0	chars
㕢	nou	nb	ye	nbye	0	chars
㕣	yan	yj	cr	yjcr	0	chars
㕤	qiu	qq	rn	qqrn	0	chars
㕤	rou	rb	rn	rbrn	0	chars
㕥	shen	uf	ro	ufro	0	chars
㕥	yi	yi	ro	yiro	0	chars
㕦	hua	hw	rk	hwrk	0	chars
㕧	xi	xi	rs	xirs	0	chars
㕨	fan	fj	ri	fjri	0	chars
㕩	pang	ph	rj	phrj	0	chars
㕩	zhang	vh	rj	vhrj	0	chars
㕪	dan	dj	ru	djru	0	chars
㕫	fang	fh	rs	fhrs	0	chars
㕬	song	ss	ri	ssri	0	chars
㕬	zhong	vs	ri	vsri	0	chars
㕭	ao	ao	rk	aork	0	chars
㕭	bi	bi	rk	birk	0	chars
㕮	fu	fu	rk	furk	0	chars
㕮	tiao	tc	rk	tcrk	0	chars
㕯	ne	ne	or	neor	0	chars
㕰	he	he	ru	heru	0	chars
