#字	拼音	繁頻	簡頻
㝞	ya	0	0
㝟	kuan	0	0
㝟	mao	0	0
㝠	ming	0	0
㝡	zui	0	0
㝢	yu	0	0
㝣	ye	0	0
㝣	yi	0	0
㝤	gou	0	0
㝥	mi	0	0
㝦	jun	0	0
㝦	ya	0	0
㝧	wen	0	0
㝨	huan	0	0
㝩	kang	0	0
㝪	dian	0	0
㝪	ding	0	0
㝫	long	0	0
㝬	fu	0	0
㝬	hu	0	0
㝭	xing	0	0
㝮	cui	0	0
㝯	qiao	0	0
㝰	mian	0	0
㝱	meng	0	0
㝲	qin	0	0
㝴	wan	0	0
㝵	de	0	0
㝵	ai	0	0
㝵	dei	0	0
㝶	ai	0	0
㝶	de	0	0
㝷	xun	0	0
㝸	bian	0	0
㝹	nou	0	0
㝺	lian	0	0
㝺	lin	0	0
㝻	jin	0	0
㝼	yu	0	0
㝽	chui	0	0
㝽	shui	0	0
㝽	zhui	0	0
㝾	zuo	0	0
㝿	bo	0	0
㝿	fu	0	0
㝿	qian	0	0
㞀	hui	0	0
㞁	yao	0	0
㞂	tui	0	0
㞃	ji	0	0
㞄	an	0	0
㞅	guo	0	0
㞅	luo	0	0
㞆	ji	0	0
㞇	wei	0	0
㞈	bo	0	0
㞉	za	0	0
㞊	xu	0	0
㞋	ji	0	0
㞋	nian	0	0
㞌	yun	0	0
㞍	kao	0	0
㞎	ba	0	0
㞎	fu	0	0
㞎	pa	0	0
㞏	jie	0	0
㞏	zhe	0	0
㞐	ju	0	0
㞑	wei	0	0
㞒	xi	0	0
㞒	xie	0	0
㞓	ji	0	0
㞓	qi	0	0
㞔	yi	0	0
㞕	xie	0	0
㞖	ci	0	0
㞗	qiu	0	0
㞘	du	0	0
㞘	tun	0	0
㞙	niao	0	0
㞚	qi	0	0
㞚	zha	0	0
㞛	ji	0	0
㞜	tui	0	0
㞝	qi	0	0
㞞	song	0	0
㞟	dian	0	0
㞟	ding	0	0
㞠	lao	0	0
㞠	liao	0	0
㞡	zhan	0	0
㞢	zhi	0	0
