 	gtzm,gxzm
⺗	uaaa·⺗
⺜	kaaa·⺜
⺝	qaaa·⺝
⺤	pvaa·爫
⺥	pvaa·⺥
⺧	mbaa·⺧
⺩	caaa·⺩
⺪	xii·㇇止
⺬	bkaa·⺬
⺮	maaa·⺮
⺲	lkaa·{柬中}
⺳	wwrd·冖儿
⺴	wwrd·冖儿
⺵	ldkd·ㄇ〢
⺶	ucaa·⺶
⺷	ucaa·⺷
⺸	iaae·丨一⺊一十
⺻	xbaa·⺻
⺼	qaaa·⺼
⺽	nbaa·⺽
⺾	eaaa·艹
⺿	eaaa·⺿
⻇	rld·⺈{冂块}
⻊	jiaa·⻊
⻌	waaa·辶
⻍	waaa·辶
⻎	waaa·辶
⻏	yaaa·阝
⻕	myvv·丿{㠯}
⻖	yaaa·阝
⻗	fvaa·⻗
⻞	oxaa·⻞
⻡	zdan·巛一自
⼹	xbaa·⼹
⿰	aajg,ggzf
⿱	aajg,iazf
⿲	aajg,gjgz
⿳	aajg,ijaz
⿴	aajg,orzf
⿵	aajg,urzf,irzf
⿶	aajg,urzf,arzf
⿷	aajg,urzf,grzf
⿸	aajg,urzf,girz
⿹	aajg,urzf,girz
⿺	aajg,urzf,garz
⿻	aajg,lgzf,fszf
⿼	aajg,urzf,grzf
⿽	aajg,urzf,garz
⿾	aajg,phzf,pfzf
⿿	aajg,shzf,sfzf
　	aaqj
、	aaqj
〃	odaa,tdaa,ldiv,aabd
〄	aats
々	rsvv,mkmk,mkwm,aabd
〆	aabd
〇	jaa·〇
「	eryj
」	eryj
『	eryj
』	eryj
【	stdj,sadj
】	stdj,sadj
〒	aats
〓	aats
〔	srdj
〕	srdj
〖	stdj,sadj
〗	stdj,sadj
〜	aabd
〝	aabd
〞	aabd
〟	aabd
〠	aats
〡	aaaa
〢	bdaa
〣	cdaa
〤	lkaa
〥	bix
〦	sovv
〧	hdaa
〨	oaaa
〩	qyaa
〶	aats
〷	aats
〸	edaa
〹	eaaa
〺	and
〻	aabd,yaaa,mkmk,mkwm
〼	aabd,arme
〽	aabd
〾	aabd
〿	aabd,fhxs
ぁ	asz·一㇏{α},azm·一女,hdz·{七}{α},rxla
あ	asz·一㇏{α},azm·一女,hdz·{七}{α},rxa
ぃ	zsvv·㇂丶,rxli
い	zsvv·㇂丶,rxi
ぅ	syvv·丶𠃌,rxlu
う	syvv·丶𠃌,rxu
ぇ	syda·丶乙,sxs·丶ス,rxle
え	syda·丶乙,sxs·丶ス,rxe
ぉ	azs·一{α}丶,fsvv·木丶,rxlo
お	azs·一{α}丶,fsvv·木丶,rxo
か	yms·力丶,rxka
が	ymst·力丶⺀,rxga
き	biz·キ㇃,bdyd·二乙,rxki
ぎ	bizt·キ㇃⺀,bdyt·二乙⺀,rxgi
く	zaaa·𡿨,rxku
ぐ	ztd·𡿨⺀,rxgu
け	zgd·㇂𠂇,rxke
げ	zgtd·㇂𠂇⺀,rxge
こ	xzvv·乛㇃,rxko
ご	xztd·乛㇃⺀,rxgo
さ	edz·十㇃,ayda·一乙,rxsa
ざ	edzt·十㇃⺀,aytd·一乙⺀,rxza
し	zaaa·乚,rxsi
じ	ztd·乚⺀,rxzi
す	azvv·一{α},dsaa·寸,rxsu
ず	aztd·一{α}⺀,dstd·寸⺀,rxzu
せ	dzvv·{于下}乚,rxse
ぜ	dztd·{于下}乚⺀,rxze
そ	yaaa·{𠄎},rxso
ぞ	ytd·{𠄎}⺀,rxzo
た	gdxz·𠂇乛㇃,gdsz·𠂇丶㇃,rxta
だ	gdzt·𠂇乛㇃⺀,rxda
ち	azvv·一㇉,rxti
ぢ	aztd·一㇉⺀,rxdi
っ	yaaa·𠃌,rxtu
つ	yaaa·𠃌,rxtu
づ	ytd·𠃌⺀,rxdu
て	ydaa·乁,rxte
で	ydat·乁⺀,rxde
と	ihvv·丨匚,rxto
ど	ihtd·丨匚⺀,rxdo
な	gdy·𠂇{𠄎},gdsz·𠂇丶α,gdya·𠂇子,rxna
